ID_sample	PCD_Subtype
25-R	PCD-FA
350-R	PCD-P
345-R	PCD-A
349-R	PCD-FA
26-R	PCD-A
27-R	PCD-P
28-R	PCD-P
352-R	PCD-P
353-R	PCD-PN
29-R	PCD-NF
351-R	PCD-A
30-R	PCD-NF
73_R	PCD-P
74_R	PCD-P
75_R	PCD-FA
218_R	PCD-FA
327_R	PCD-P
328_R	PCD-FA
329_R	PCD-P
40-R	PCD-A
41-R	PCD-A
42-R	PCD-A
347-R	PCD-FA
43-R	PCD-FA
123_R	PCD-A
48-R	PCD-P
49-R	PCD-A
346-R	PCD-A
295_R	PCD-FA
50-R	PCD-A
51-R	PCD-FA
83_R	PCD-A
124_R	PCD-NF
296_R	PCD-PN
330_R	PCD-P
331_R	PCD-P
332_R	PCD-FA
333_R	PCD-PN
58-R	PCD-NF
59-R	PCD-PN
60-R	PCD-A
229_R	PCD-PN
354-R	PCD-FA
130_R	PCD-PN
177_R	PCD-PN
131_R	PCD-PN
66-R	PCD-P
183_R	PCD-P
132_R	PCD-A
67-R	PCD-NF
133_R	PCD-A
91_R	PCD-P
92_R	PCD-PN
93_R	PCD-NF
94_R	PCD-A
95_R	PCD-NF
96_R	PCD-P
97_R	PCD-P
98_R	PCD-A
99_R	PCD-PN
100_R	PCD-A
101_R	PCD-PN
102_R	PCD-P
103_R	PCD-P
104_R	PCD-FA
134_R	PCD-A
135_R	PCD-NF
136_R	PCD-P
105_R	PCD-A
137_R	PCD-A
230_R	PCD-NF
106_R	PCD-A
231_R	PCD-A
138_R	PCD-NF
139_R	PCD-P
184_R	PCD-NF
140_R	PCD-PN
297_R	PCD-PN
232_R	PCD-A
141_R	PCD-PN
233_R	PCD-FA
142_R	PCD-FA
143_R	PCD-A
144_R	PCD-A
145_R	PCD-A
146_R	PCD-NF
147_R	PCD-A
235_R	PCD-A
236_R	PCD-P
237_R	PCD-A
298_R	PCD-A
240_R_R	PCD-P
243_R	PCD-PN
111_R	PCD-PN
208_R	PCD-A
246_R	PCD-A
247_R	PCD-A
160_R	PCD-PN
163_R	PCD-A
164_R	PCD-P
165_R	PCD-FA
166_R	PCD-A
167_R	PCD-A
211_R	PCD-A
212_R	PCD-A
