ID_sample	PCD_Subtype
GSM3447023	PCD-NF
GSM3447024	PCD-A
GSM3447013	PCD-PN
GSM3447025	PCD-PN
GSM3447026	PCD-NF
GSM3447014	PCD-A
GSM3447027	PCD-PN
GSM3447015	PCD-PN
GSM3447022	PCD-NF
GSM3447028	PCD-PN
GSM3447029	PCD-A
GSM3447030	PCD-NF
GSM3447016	PCD-A
GSM3447031	PCD-NF
GSM3447017	PCD-A
GSM3447018	PCD-PN
GSM3447019	PCD-PN
GSM3447020	PCD-P
GSM3447032	PCD-PN
GSM3447008	PCD-A
GSM3447035	PCD-FA
GSM3447033	PCD-PN
GSM3447021	PCD-PN
GSM3447036	PCD-A
GSM3447034	PCD-FA
GSM3447009	PCD-NF
GSM3447010	PCD-P
GSM3447011	PCD-A
GSM3447012	PCD-PN
GSM3589673	PCD-NF
GSM3589674	PCD-NF
GSM3589681	PCD-NF
GSM3589678	PCD-A
GSM3589686	PCD-PN
GSM3589683	PCD-FA
GSM3589687	PCD-A
GSM3589688	PCD-NF
GSM3589685	PCD-NF
GSM3589682	PCD-P
GSM3589675	PCD-NF
GSM3589676	PCD-FA
GSM3589677	PCD-P
GSM3589679	PCD-FA
GSM3589680	PCD-PN
GSM3589684	PCD-A
GSM3785173	PCD-A
GSM3785165	PCD-PN
GSM3785166	PCD-PN
GSM3785163	PCD-NF
GSM3785167	PCD-FA
GSM3785168	PCD-PN
GSM3785169	PCD-FA
GSM3785170	PCD-A
GSM3785171	PCD-NF
GSM3785160	PCD-P
GSM3785161	PCD-A
GSM3785172	PCD-FA
GSM3785174	PCD-FA
GSM3785176	PCD-NF
GSM3785175	PCD-P
GSM3785162	PCD-PN
GSM3785164	PCD-P
GSM4128053	PCD-NF
GSM4128051	PCD-A
GSM4128050	PCD-NF
GSM4128052	PCD-NF
GSM4128054	PCD-FA
GSM4128049	PCD-P
GSM5029344	PCD-P
GSM5029345	PCD-A
GSM5029346	PCD-PN
GSM5029359	PCD-A
GSM5029360	PCD-NF
GSM5029347	PCD-NF
GSM5029348	PCD-FA
GSM5029349	PCD-NF
GSM5029361	PCD-A
GSM5029362	PCD-PN
GSM5029350	PCD-NF
GSM5029351	PCD-NF
GSM5029352	PCD-NF
GSM5029353	PCD-NF
GSM5029363	PCD-PN
GSM5029364	PCD-PN
GSM5029365	PCD-A
GSM5029354	PCD-NF
GSM5029355	PCD-P
GSM5029356	PCD-PN
GSM5029357	PCD-NF
GSM5029358	PCD-P
GSM5071304	PCD-PN
GSM5071305	PCD-PN
GSM5071306	PCD-PN
GSM5071307	PCD-PN
GSM5071308	PCD-NF
GSM5071309	PCD-P
GSM5071310	PCD-P
GSM5071311	PCD-PN
GSM5071320	PCD-A
GSM5071321	PCD-PN
GSM5071322	PCD-NF
GSM5071323	PCD-PN
GSM5071324	PCD-FA
GSM5071325	PCD-NF
GSM5071312	PCD-PN
GSM5071313	PCD-PN
GSM5071314	PCD-PN
GSM5071315	PCD-FA
GSM5071316	PCD-NF
GSM5071317	PCD-P
GSM5071318	PCD-PN
GSM5071319	PCD-NF
GSM5133944	PCD-PN
GSM5133918	PCD-A
GSM5133919	PCD-PN
GSM5133935	PCD-PN
GSM5133936	PCD-NF
GSM5133931	PCD-FA
GSM5133932	PCD-FA
GSM5133933	PCD-PN
GSM5133937	PCD-PN
GSM5133938	PCD-FA
GSM5133939	PCD-P
GSM5133920	PCD-NF
GSM5133921	PCD-PN
GSM5133922	PCD-A
GSM5133940	PCD-FA
GSM5133941	PCD-PN
GSM5133934	PCD-NF
GSM5133923	PCD-FA
GSM5133924	PCD-FA
GSM5133925	PCD-NF
GSM5133926	PCD-FA
GSM5133927	PCD-NF
GSM5133928	PCD-PN
GSM5133929	PCD-FA
GSM5133930	PCD-FA
GSM5133942	PCD-A
GSM5133943	PCD-A
GSM5362464	PCD-NF
GSM5362465	PCD-P
GSM5362466	PCD-A
GSM5362467	PCD-NF
GSM5362468	PCD-A
GSM5362469	PCD-NF
GSM5362470	PCD-A
GSM5362471	PCD-NF
GSM5362472	PCD-NF
GSM5362473	PCD-A
GSM5362474	PCD-FA
GSM5362475	PCD-NF
GSM5362476	PCD-NF
GSM5362477	PCD-A
GSM5362478	PCD-P
GSM5362479	PCD-PN
GSM5362480	PCD-NF
GSM5362481	PCD-NF
GSM5362482	PCD-A
GSM5362483	PCD-PN
GSM5362484	PCD-NF
GSM5362485	PCD-NF
GSM5362486	PCD-PN
GSM5362487	PCD-PN
GSM5362488	PCD-NF
