NCBI_ID	Gene_Symbol	PCD_Mode
9447	AIM2	Pyroptosis
51074	APIP	Pyroptosis
834	CASP1	Pyroptosis
836	CASP3	Pyroptosis
837	CASP4	Pyroptosis
838	CASP5	Pyroptosis
839	CASP6	Pyroptosis
841	CASP8	Pyroptosis
842	CASP9	Pyroptosis
5119	CHMP1A	Pyroptosis
57132	CHMP1B	Pyroptosis
27243	CHMP2A	Pyroptosis
25978	CHMP2B	Pyroptosis
29082	CHMP4A	Pyroptosis
128866	CHMP4B	Pyroptosis
92421	CHMP4C	Pyroptosis
51510	CHMP5	Pyroptosis
79643	CHMP6	Pyroptosis
91782	CHMP7	Pyroptosis
1687	GSDME	Pyroptosis
494513	DFNB59	Pyroptosis
1660	DHX9	Pyroptosis
91039	DPP9	Pyroptosis
1991	ELANE	Pyroptosis
2879	GPX4	Pyroptosis
284110	GSDMA	Pyroptosis
55876	GSDMB	Pyroptosis
56169	GSDMC	Pyroptosis
79792	GSDMD	Pyroptosis
3001	GZMA	Pyroptosis
3002	GZMB	Pyroptosis
3606	IL18	Pyroptosis
3553	IL1B	Pyroptosis
3569	IL6	Pyroptosis
9798	KIAA0174	Pyroptosis
51776	MAP3K20	Pyroptosis
57506	MAVS	Pyroptosis
4210	MEFV	Pyroptosis
407008	MIR223	Pyroptosis
4671	NAIP	Pyroptosis
58484	NLRC4	Pyroptosis
22861	NLRP1	Pyroptosis
55655	NLRP2	Pyroptosis
114548	NLRP3	Pyroptosis
171389	NLRP6	Pyroptosis
199713	NLRP7	Pyroptosis
338321	NLRP9	Pyroptosis
10392	NOD1	Pyroptosis
64127	NOD2	Pyroptosis
5335	PLCG1	Pyroptosis
5566	PRKACA	Pyroptosis
5567	PRKACB	Pyroptosis
5568	PRKACG	Pyroptosis
5573	PRKAR1A	Pyroptosis
5575	PRKAR1B	Pyroptosis
5576	PRKAR2A	Pyroptosis
5577	PRKAR2B	Pyroptosis
29108	PYCARD	Pyroptosis
9169	SCAF11	Pyroptosis
8487	SIP1	Pyroptosis
114609	TIRAP	Pyroptosis
51284	TLR7	Pyroptosis
7124	TNF	Pyroptosis
54209	TREM2	Pyroptosis
51652	VPS24	Pyroptosis
81030	ZBP1	Pyroptosis
103	ADAR1	Necroptosis
6790	AURKA	Necroptosis
558	AXL	Necroptosis
596	BCL2	Necroptosis
8678	BECN1	Necroptosis
329	BIRC2	Necroptosis
330	BIRC3	Necroptosis
841	CASP8	Necroptosis
8837	CFLAR	Necroptosis
5119	CHMP1A	Necroptosis
57132	CHMP1B	Necroptosis
27243	CHMP2A	Necroptosis
25978	CHMP2B	Necroptosis
29082	CHMP4A	Necroptosis
128866	CHMP4B	Necroptosis
92421	CHMP4C	Necroptosis
51510	CHMP5	Necroptosis
79643	CHMP6	Necroptosis
91782	CHMP7	Necroptosis
1147	CHUK	Necroptosis
2919	CXCL1	Necroptosis
3576	CXCL8	Necroptosis
1540	CYLD	Necroptosis
56616	DIABLO	Necroptosis
5610	EIF2AK2	Necroptosis
2146	EZH2	Necroptosis
8772	FADD	Necroptosis
355	FAS	Necroptosis
356	FASLG	Necroptosis
2932	GSK3B	Necroptosis
3320	HSP90AA1	Necroptosis
3303	HSPA1A	Necroptosis
3454	IFNAR1	Necroptosis
3459	IFNGR1	Necroptosis
3551	IKBKB	Necroptosis
9641	IKBKE	Necroptosis
253430	IPMK	Necroptosis
64768	IPPK	Necroptosis
3705	ITPK1	Necroptosis
9798	KIAA0174	Necroptosis
6885	MAP3K7	Necroptosis
9261	MAPKAPK2	Necroptosis
10461	MERTK	Necroptosis
142678	MIB2	Necroptosis
197259	MLKL	Necroptosis
57447	NDRG2	Necroptosis
7182	NR2C2	Necroptosis
8473	OGT	Necroptosis
57162	PELI1	Necroptosis
5495	PPM1B	Necroptosis
5071	PRKN	Necroptosis
10616	RBCK1	Necroptosis
8737	RIPK1	Necroptosis
11035	RIPK3	Necroptosis
55072	RNF31	Necroptosis
81858	SHARPIN	Necroptosis
10273	STUB1	Necroptosis
29110	TBK1	Necroptosis
7098	TLR3	Necroptosis
7099	TLR4	Necroptosis
7124	TNF	Necroptosis
7128	TNFAIP3	Necroptosis
8797	TNFRSF10A	Necroptosis
8795	TNFRSF10B	Necroptosis
8794	TNFRSF10C	Necroptosis
8793	TNFRSF10D	Necroptosis
7132	TNFRSF1A	Necroptosis
8717	TRADD	Necroptosis
7186	TRAF2	Necroptosis
7301	TYRO3	Necroptosis
23326	USP22	Necroptosis
51652	VPS24	Necroptosis
331	XIAP	Necroptosis
81030	ZBP1	Necroptosis
80829	ZFP91	Necroptosis
2180	ACSL1	Ferroptosis
2181	ACSL3	Ferroptosis
2182	ACSL4	Ferroptosis
51703	ACSL5	Ferroptosis
23305	ACSL6	Ferroptosis
91	ACVR1B	Ferroptosis
84883	AIFM2	Ferroptosis
1645	AKR1C1	Ferroptosis
1646	AKR1C2	Ferroptosis
8644	AKR1C3	Ferroptosis
239	ALOX12	Ferroptosis
246	ALOX15	Ferroptosis
9474	ATG5	Ferroptosis
10533	ATG7	Ferroptosis
571	BACH1	Ferroptosis
8314	BAP1	Ferroptosis
8678	BECN1	Ferroptosis
833	CARS	Ferroptosis
875	CBS	Ferroptosis
79094	CHAC1	Ferroptosis
51510	CHMP5	Ferroptosis
79643	CHMP6	Ferroptosis
55847	CISD1	Ferroptosis
27235	COQ2	Ferroptosis
1356	CP	Ferroptosis
